Price,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,Signal,Daily_Return,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return,Trade_Type
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,
Date,,,,,,,,,,,,,
2015-01-05,23.5327205657959,24.064283533005238,23.34667445665828,23.984549003434232,257142000,23.87380886077881,23.87380886077881,0,-0.028171773168299552,-0.0,0.9718282268317004,1.0,
2015-01-06,23.534942626953125,23.79407907741607,23.173921823005994,23.596958014435618,263188400,23.760853449503582,23.760853449503582,0,9.442432085204899e-05,0.0,0.9719199910520039,1.0,0.0
2015-01-07,23.864952087402344,23.96461942484343,23.632392713649896,23.743134950714406,160423600,23.78687810897827,23.78687810897827,0,0.0140221060097796,0.0,0.9855483561995592,1.0,0.0
2015-01-08,24.781896591186523,24.8394830250832,24.075360608884285,24.192748794463913,237458000,23.985881805419922,23.985881805419922,0,0.03842222269820561,0.0,1.0234153146213092,1.0,0.0
2015-01-09,24.8084716796875,25.08311190198466,24.409799026520567,24.9546505259873,214798000,24.12298011779785,24.12298011779785,0,0.0010723589457002358,0.0,1.0245127831891099,1.0,0.0
2015-01-12,24.197175979614258,24.945792806630894,24.09750865378446,24.939148543547873,198603200,24.13357952662877,24.13357952662877,0,-0.024640602934591693,-0.0,0.9992681704971336,1.0,0.0
2015-01-13,24.412012100219727,24.98344228730691,24.121868061955624,24.68000803529737,268367600,24.168383598327637,24.168383598327637,0,0.00887856172912338,0.0,1.0081402346328405,1.0,0.0
2015-01-14,24.318994522094727,24.471817651304267,24.031064046541807,24.15066585839645,195826400,24.18511814541287,24.18511814541287,0,-0.003810320007344381,-0.0,1.00429889772661,1.0,0.0
2015-01-15,23.658966064453125,24.376575123869163,23.62352943536436,24.36328659918488,240056000,24.132502937316893,24.132502937316893,0,-0.027140450113673165,-0.0,0.9770417735936441,1.0,0.0
2015-01-16,23.47513771057129,23.827298884688386,23.300164782396326,23.705481754379125,314053200,24.072742462158203,24.072742462158203,0,-0.00776992339314575,-0.0,0.9694502338609182,1.0,0.0
2015-01-20,24.079784393310547,24.13515549366684,23.58808875177998,23.8848770385896,199599600,24.07332928975423,24.07332928975423,0,0.025756896091262194,0.0,0.9944202628001237,1.0,0.0
2015-01-21,24.263622283935547,24.59806258830847,23.98012076721873,24.130730261496435,194303600,24.087967212383564,24.087967212383564,0,0.007634532254203741,0.0,1.0020121963707052,1.0,0.0
2015-01-22,24.894853591918945,24.91035743649609,24.301275172720366,24.42087698365504,215185600,24.145601953778947,24.145601953778947,0,0.0260155429637281,0.0,1.0280800877155667,1.0,0.0
2015-01-23,25.023311614990234,25.19385388237781,24.702158177998953,24.872702135178624,185859200,24.204115931193034,24.204115931193034,0,0.005160023239220379,0.0,1.0333850048599587,1.0,0.0
2015-01-26,25.049888610839844,25.32895946484357,24.983444295938444,25.191638510380002,222460000,24.25697672367096,24.25697672367096,0,0.0010620894731490083,0.0,1.0344825521953305,1.0,0.0
2015-01-27,24.172805786132812,24.912564515082877,24.14844236845593,24.899274302846184,382274800,24.252025492051068,24.252025492051068,0,-0.0350134421087801,-0.0,0.9982617572414961,1.0,0.0
2015-01-28,25.539369583129883,26.161741992686807,25.539369583129883,26.05321340320937,585908400,24.323544608222115,24.323544608222115,0,0.05653310621396823,0.0,1.054696595192972,1.0,0.0
2015-01-29,26.334497451782227,26.39872813532269,25.59473862220585,25.763067251836308,337745600,24.429384231567383,24.429384231567383,0,0.031133417998601143,0.0,1.0875329051528164,1.0,0.0
2015-01-30,25.949115753173828,26.57813070202149,25.880454433135018,26.223755963952947,334982000,24.505370807647704,24.505370807647704,0,-0.014634101118277343,-0.0,1.0716178386493562,1.0,0.0
2015-02-02,26.274694442749023,26.394296224615175,25.709910222027197,26.14623477167078,250956400,24.5896243140811,24.5896243140811,0,0.012546812487642223,0.0,1.085063226729302,1.0,0.0
2015-02-03,26.279115676879883,26.376567631480665,26.048771774547586,26.245892689947002,207662800,24.6664193760265,24.6664193760265,0,0.0001682696687679286,0.0,1.085245809959056,1.0,0.0
2015-02-04,26.48067855834961,26.691089785876024,26.20382301407181,26.24590559753552,280598800,24.745300210040547,24.745300210040547,0,0.0076700785501340185,0.0,1.093569730567646,1.0,0.0
2015-02-05,26.669689178466797,26.734173371572957,26.51626121223278,26.687476575923274,168984800,24.825483083724976,24.825483083724976,0,0.0071376803921661125,0.0,1.101375281790985,1.0,0.0
2015-02-06,26.44509506225586,26.738608198741204,26.338362241506353,26.687465000026503,174826400,24.89026756286621,24.89026756286621,0,-0.008421324849645306,-0.0,1.0921002427616535,1.0,0.0
2015-02-09,26.620763778686523,26.647445716847848,26.333921068225507,26.3606047028478,155559200,24.956825109628532,24.956825109628532,0,0.006642771221548438,0.0,1.0993548148253167,1.0,0.0
2015-02-10,27.132184982299805,27.161092674695414,26.718599709283218,26.720822072959173,248034000,25.03739399380154,25.03739399380154,0,0.019211364777698137,0.0,1.1204749211930447,1.0,0.0
2015-02-11,27.768138885498047,27.777033432281677,27.238926075331964,27.29896214554481,294247200,25.134920597076416,25.134920597076416,0,0.02343909654210008,0.0,1.1467378410438904,1.0,0.0
2015-02-12,28.119464874267578,28.346271568231803,27.92156588046305,28.030521105976927,297898000,25.23783591697956,25.23783591697956,0,0.0126521258849297,0.0,1.1612465125657903,1.0,0.0
2015-02-13,28.25732421875,28.301795249028654,27.939351432520557,28.301795249028654,217088800,25.338485527038575,25.338485527038575,0,0.004902630441185218,0.0,1.1669396750680154,1.0,0.0
2015-02-17,28.42409324645996,28.657570397556903,28.221746155981133,28.3484904589152,252609600,25.438021259923136,25.438021259923136,0,0.005901798288434623,0.0,1.1738267176450383,1.0,0.0
2015-02-18,28.621984481811523,28.635325448054,28.339588255634634,28.37961285082267,179566800,25.537520110607147,25.537520110607147,0,0.006962094925445195,0.0,1.1819990106793068,1.0,0.0
2015-02-19,28.56195831298828,28.6909266937872,28.53527636969285,28.568628798812142,149449600,25.629169753103547,25.629169753103547,0,-0.0020972049950410687,-0.0,1.1795201164499765,1.0,0.0
2015-02-20,28.795433044433594,28.795433044433594,28.47301381634293,28.599756429130103,195793600,25.72229514402502,25.72229514402502,0,0.00817432505456539,0.0,1.1891618972902374,1.0,0.0
2015-02-23,29.57369041442871,29.57369041442871,28.831013589751244,28.911062812304195,283896400,25.832335008893693,25.832335008893693,0,0.02702711116704526,0.0,1.2213015080839151,1.0,0.0
2015-02-24,29.389127731323242,29.707102206832975,29.16676919202935,29.56034475659771,276912400,25.93113480673896,25.93113480673896,0,-0.0062407728125611905,-0.0,1.213679642836325,1.0,0.0
2015-02-25,28.63755989074707,29.262390347666056,28.495250535932684,29.253494104471162,298846800,26.00428143063107,26.00428143063107,0,-0.025572989013047276,-0.0,1.1826422266647125,1.0,0.0
2015-02-26,29.000003814697266,29.100064490965032,28.152818219815735,28.637558265830563,365150000,26.08311623021176,26.08311623021176,0,0.012656243246035093,0.0,1.1976100343584137,1.0,0.0
2015-02-27,28.564180374145508,29.033357042942402,28.515261222485382,28.90661104284422,248059200,26.146733259543396,26.146733259543396,0,-0.015028392524930712,-0.0,1.1796118806702798,1.0,0.0
2015-03-02,28.70426368713379,28.968870897881935,28.528601929913908,28.739841868545096,192386800,26.210671520233156,26.210671520233156,0,0.00490416007578065,0.0,1.1853968861603794,1.0,0.0
2015-03-03,28.764305114746094,28.799883300697513,28.48190877725586,28.675363042790107,151265200,26.272955266440785,26.272955266440785,0,0.0020917250575291924,0.0,1.1878764105302781,1.0,0.0
2015-03-04,28.58196449279785,28.80877114769695,28.533048736762723,28.70648812200263,126665200,26.327931676592147,26.327931676592147,0,-0.0063391283474727445,-0.0,1.1803463095029916,1.0,0.0
2015-03-05,28.10834312438965,28.628661280150922,27.963809737857854,28.590860736485048,226068400,26.369336593982784,26.369336593982784,0,-0.016570637351660977,-0.0,1.1607872188588462,1.0,0.0
2015-03-06,28.150592803955078,28.76652525661798,28.074991709340917,28.550837186219347,291368400,26.409819689663973,26.409819689663973,0,0.001503101032261478,0.0,1.1625319993257488,1.0,0.0
2015-03-09,28.270660400390625,28.810993335881307,27.808154299397792,28.452994307989236,354114000,26.4511717054579,26.4511717054579,0,0.004265188917040419,0.0,1.1674904179249779,1.0,0.0
2015-03-10,27.685863494873047,28.288454960913256,27.5279891281801,28.108345078545167,275426400,26.47801283131475,26.47801283131475,0,-0.020685647142133945,-0.0,1.1433401230979592,1.0,0.0
2015-03-11,27.181110382080078,27.7436772774365,27.152204379492783,27.739230852600457,275756000,26.49297235367146,26.49297235367146,0,-0.018231438325426952,-0.0,1.1224953881587127,1.0,0.0
2015-03-12,27.672523498535156,27.772585873420383,27.045472395807206,27.19667629203401,193450800,26.51754633585612,26.51754633585612,0,0.018079214187624038,0.0,1.1427892227058543,1.0,0.0
2015-03-13,27.481294631958008,27.883764794029116,27.256713699508314,27.661406225809525,207309200,26.537214668429627,26.537214668429627,0,-0.006910423857342529,-0.0,1.1348920647973537,1.0,0.0
2015-03-16,27.783700942993164,27.783700942993164,27.321196435001667,27.54577735550877,143497200,26.5621443939209,26.5621443939209,0,0.011004078049637656,0.0,1.1473805056562982,1.0,0.0
2015-03-17,28.24842643737793,28.310686551220204,27.939348231903164,27.994937861613888,204092400,26.642814979553222,26.595208747714175,1,0.016726551129321976,0.0,1.1665722243489456,1.0,1.0
2015-03-18,28.566396713256836,28.719824620838658,28.099444203418223,28.23952944743159,261083600,26.74348850250244,26.633116208589993,1,0.011256211972861419,0.011256211972861419,1.1797034085878697,1.0112562119728614,0.0
